Organization,Case Mgmt.,Housing,ESL,Income/Jobs,Starting Biz,Ed/children,Ed/Adult,Social connection,Civic Engagement,Nutrition & Health,Navigating Day-to-Day Logistics,Partners/Collaborators,Affiliation ,Website link,Revenue,Expenses,Year,Costs,Annual Reports,Year
Casa San Jose,Yes,Permanent & Emergency Housing,Yes,No,,Enrollment Support,Enrollment support ,,Welfare Needs,New born supplies,Yes,,Hispanic,https://casasanjose.org/en/home/,"$2,179,836","$2,206,192",2024,,,
,,,,,,Day Care,,,Public Policy Advocacy,Mental Health,Tech Training,,,,,,,,,
,,,,,,In-school support and tutoring,,,Legal Clinics and Aid,Disabilities,,,,,,,,,,
,,,,,,Summer Camp,,,Voter Registration,Health Clinics,,,,,,,,,,
Pittsburgh Hispanic Development Organization (PHDC),Yes,Rent & Utilities,No,No,,,,,,,,https://phdcincubator.org/en/about-us/partnerships/,Hispanic,https://phdcincubator.org/en/home/,"$649,783","$626,183",2023,,https://phdcincubator.org/en/home/,
,,Home Buying,,,,,,,,,,,,,,,,,,
,,Housing Navigation Services,,,,,,,,,,,,,,,,,,
Bhutanese  Community Association of Pittsburgh (BCAP),No,,Yes,No,,Afterschool Academy,,Community Gardening,Civic Engagement,Mental Health Services,Computer Literacy Program,https://bcapgh.org/our-supporters,Bhutanese,https://bcapgh.org/,"$736,556","$654,623",2023,,,
,,,,,,,Immigration Assistance,,,,,,,,,,,,,
,,,,,,,Citizenship Classes,,,,,,,,,,,,,
,,,,,,Learners Permit Test Prep,Learners Permit Test Prep,,,,,,,,,,,,,
Hispanic Chamber of Commerce,Yes,,No,No,,,Mentoring Programs,,Digital Speakers Series,,,https://www.pmahcc.org/community,Hispanic,https://www.pmahcc.org/,"$59,922","$90,452",2023,,,
,,,,,,,Business Success Programs,,,,,,,,,,,,,
,,,,,,,Financial and Digital Literacy Workshop ,,,,,,,,,,,,,
,,,,,,Internships,,,,,,,,,,,,,,
Asian Chamber of Commerce,No,,Yes,No,,,Economic Self-Sufficiency,,Civic Engagement,,Tech Assistance,,Asians,https://aaccpittsburgh.com/home,"$56,167",,2023,Membership Levels,,
,,,,,,,Entrpreureral Excellence,,,,,,,,,,,,,
Chinese Chamber of Commerce,No,,Yes,No,,,Small Business Assistance Center,,Cross Cultural Training,,Visa & Passport Processing,,Chinese,https://clechinesechamber.com/,"$131,000","$117,000",2024,Membership Levels ,,
,,,,,,,Translation and Interpretation Services,,,,Translations,,,,,,,,,
,,,,,,,,,,,Referrals,,,,,,,,,
African Chamber of Commerce (2),No,,,No,,,Business Institute Workshops,,,,,https://aaccwp.com/corporate-sponsors/,African,https://aaccwp.com/,"$208,739","$213,151",2023,membership levels,,
,,,,,,,Business Referral Services,,,,,,,,,,,,,
,,,,,,,Educational Webinars,,,,,,,,,,,,,
Immigrant Services and Connections (ISAC),Yes,Housing Applications,No,No,,,Legal Support,,,Support Group,Refugee/Asylee Green Card Applications,https://isacpittsburgh.org/training/,Refugee & Immigrant,https://isacpittsburgh.org/,$47.4 million,,2023,,,
,,,,,,,Office Hours Support,,,,Naturalization/Citizenship ,,,,,,,,,
,,,,,,,Service Coordination,,,,Employment Authorization Cards and Renewal,,,,,,,,,
Acculturation for Justice and Peace Outreach (AJAPO),Yes,Refugee Resettlement,No,No,,,Employment Services,,,FAMILY COHESION & EMPOWERMENT,,http://ajapopittsburgh.org/about_us1.aspx,Refugees,http://ajapopittsburgh.org/about_us1.aspx,"$1,568,119","$1,260,098",2022,,,
,,,,,,,,,,,,,,,,,,,,
Jewish Family and Community Services (JFCS),Yes,Refugee and Immigrant Services,Yes,No,,,Career Services,,,Counseling Services,,https://www.jfcspgh.org/jfcsannualreport2022-23/,Jewish,https://www.jfcspgh.org,"$22,932,835","$22,030,403",2024,,,
,,,,,,,Immigration Legal Services,,,,,,,,,,,,,
,,,,,,Youth Services,Senior Services,,,,,,,,,,,,,
Hello Neighbor,Yes,Housing Process Assistance,Yes,No,,,Mentorship,,,Wellness Navigation,Employment,,Refugee & Immigrant,https://www.helloneighbor.io/,"$3,569,128","$3,140,867",2023,,,
,,,,,,,Study Buddy,,,Intensive care managment support,,,,,,,,,,
,,,,,,,Legal,,,,,,,,,,,,,
Bethany Christian Services,Yes,Homebuilders,No,No,,Foster Care,,,,Reproductive Health ,,,Christian,https://bethany.org/locations/us/pennsylvania/western-pennsylvania,"141,810,944","$188,563,000",2023,,,
,,,,,,,Post Adoption Services,,,,,,,,,,,,,
,,,,,,,Safe Families for Children,,,,,,,,,,,,,
,,,,,,,Immigrant & Refugee Services,,,,,,,,,,,,,
Redeemed Christian Church of God Living Spring Pittsburgh (RCCG LSP),No,,No,No,,,,Support and Bible Study Groups for all Ages,,Counseling,,,Christian,https://www.rccgpittsburgh.com/,,,,,,
Redeemed Christian Church of God Rehoboth,No,,No,No,,Childrens Department,,Bible Study Groups,,,Welfare Department,,Christian,http://rccgrap.org/,,,,,,
